text_key,zh_cn
evt.1006.desc,第七天终于到了。广场、丹房、化骨池、柳飞霞递来的暗线、王麻子的盘剥、疯长老的目光，都在今天收束成同一件事：你究竟有没有资格活着走出这一轮外门筛选。
opt.1006_opt_01.text,带着这七天攒下的一切去面对结果
opt.1006_opt_01.result,这一周终于走到尽头。接下来决定你的，不再是还能不能拖延，而是你这七天到底攒下了什么筹码，又把自己交到了谁的刀下。
evt.conditional_record_discovery.title,旧账册的缺页
evt.conditional_record_discovery.desc,你在药房里翻到了一本被撕过的旧账册，缺掉的那几页偏偏就是化骨池被封前后的记录。
opt.conditional_record_discovery.keep_missing_page_in_mind,记下这处被刻意抹掉的痕迹
opt.conditional_record_discovery.keep_missing_page_in_mind.result,这不是普通的缺页，而是有人动手删掉了某段时间。化骨池的问题，显然曾经被人为处理过。
evt.conditional_whisper_deepens.title,异声渗深
evt.conditional_whisper_deepens.desc,污染积得太久后，那股异声不再只缠在化骨池边，而开始在夜里顺着墙缝和门板渗进来。
opt.conditional_whisper_deepens.endure_whisper,咬牙熬过去
opt.conditional_whisper_deepens.endure_whisper.result,你没有彻底回应它，但它也已经不再需要你的允许。化骨池里的东西开始把你当成迟早会回头的人。
evt.conditional_wrong_trust_payoff.title,月考前的收束
evt.conditional_wrong_trust_payoff.desc,离月考只剩最后一天时，前面攒下来的东西必须开始收口了。柳飞霞递来的暗线、王麻子遮掩的账、疯长老留下的试探、夜巡看见却不肯明说的东西，以及化骨池夜里一遍遍逼近你的异声，已经不再是彼此无关的碎片。
现在真正要想明白的，是你准备把哪一类东西收成“明天能用的活路”。是把能说出口的线索收成把柄，去赌有人会接；是把夜里摸到的异常和缝隙收成一条潜行路线；还是干脆向疯长老低头，换一条被留下来继续活着的资格。若你还决定继续暂避锋芒，那也该明白：拖到现在再不押注，本身就已经是一种押注。,
opt.conditional_wrong_trust_payoff.accept_doubt,承认自己可能看错了人
opt.conditional_wrong_trust_payoff.accept_doubt.result,你终于承认，外门里没有谁是真正可以无条件信任的。这个结论让你更清醒，也更孤独。
evt.act1_res_leftover_medicine.title,药房残药
evt.act1_res_leftover_medicine.desc,药房角落里留着一份没被登记的小包残药，气味还算新鲜。
opt.act1_res_leftover_medicine.take_small_dose,拿一点压住不适
opt.act1_res_leftover_medicine.take_small_dose.result,你试着从残药里抠出一点还能用的部分，想看看这回到底是救急，还是反噬。
opt.act1_res_leftover_medicine.take_small_dose.success,你辨出了药里还能用的那一缕药性，勉强把不适压了回去，还顺手记住了这包残药原本该用在什么人身上。
opt.act1_res_leftover_medicine.take_small_dose.failure,药味混得太杂，你刚压下去一口，反而把另一股脏劲翻了上来。残药没救成急，倒先咬了你一口。
evt.act1_res_hidden_stash.title,床铺下的旧藏物
evt.act1_res_hidden_stash.desc,你在寝舍角落翻出一小包被人忘下的旧物，像是有人匆忙离开时没来得及带走。
opt.act1_res_hidden_stash.take_small_gain,拿走还能用的部分
opt.act1_res_hidden_stash.take_small_gain.result,你先翻了翻这包旧藏物，想看看里头到底是能用的补给，还是别人故意丢下的坑。
opt.act1_res_hidden_stash.take_small_gain.success,你从里头挑出了真能用的那部分，不光换来一点实在补给，还顺手看出这包东西原主离开得有多匆忙。
opt.act1_res_hidden_stash.take_small_gain.failure,你刚把东西揣进袖里，就发现里头少了一角、少得太巧。补给没捞到多少，反而让人更容易记住你动过这堆旧物。
evt.act1_res_food_shortage.title,膳食不足
evt.act1_res_food_shortage.desc,今天分到的饭食比平时更少，别院里越来越多人开始把能省下的都省下来。
opt.act1_res_food_shortage.endure_hunger,先忍过去
opt.act1_res_food_shortage.endure_hunger.result,你只能先把这顿短下来的饭食扛过去，看自己到底能不能熬住这一轮空耗。
opt.act1_res_food_shortage.endure_hunger.success,你咬着牙撑过了这一顿，胃里空得发紧，脑子却反而更清醒了一点。外门里省口粮这件事，显然已经不是普通紧张。
opt.act1_res_food_shortage.endure_hunger.failure,这口气没硬撑住，饥火和虚耗一起翻上来，反倒让你这一整轮都更像是被人拿去先榨干的那类人。
evt.act1_rel_peer_small_talk.title,同门闲谈
evt.act1_rel_peer_small_talk.desc,回廊转角处，有同门压低声音谈起最近别院里越来越不对劲的气氛。
opt.act1_rel_peer_small_talk.chat_carefully,顺势聊上两句
opt.act1_rel_peer_small_talk.chat_carefully.result,你顺着闲谈探了一手，想看看这点同门气氛是能替你开口，还是会把你也一起拖进去。
opt.act1_rel_peer_small_talk.chat_carefully.success,你没把话说满，却刚好把对方那层戒心压在了半松不松的位置。情报不算大，可别院里多了一个愿意悄悄听你说话的人。
opt.act1_rel_peer_small_talk.chat_carefully.failure,你多试探了半句，对方表面还在闲聊，眼神却已经先缩了回去。你没套出话，倒先让自己在别人口里多了一层“最近不太安分”。
evt.act1_rel_steward_cold_gaze.title,执事冷眼旁观
evt.act1_rel_steward_cold_gaze.desc,你刚离开药房，执事的视线就从你背后扫了过去，冷得像在数你到底知道了多少。
opt.act1_rel_steward_cold_gaze.walk_away,装作没看见
opt.act1_rel_steward_cold_gaze.walk_away.result,你试着把这道冷眼轻轻带过去，看看自己能不能从执事视线里先退干净。
opt.act1_rel_steward_cold_gaze.walk_away.success,你脚步没乱，也没回头，像是真没把那道目光放在心上。执事没有继续追着看，这一轮总算没把你按进更显眼的位置。
opt.act1_rel_steward_cold_gaze.walk_away.failure,你虽然没回头，背脊却先绷得太明显。药房那边不光记住了你，还顺手把这份不自然也记进了眼里。
evt.act1_rel_false_friendliness.title,突如其来的亲近
evt.act1_rel_false_friendliness.desc,平时并不熟络的人忽然主动来和你套近乎，问的偏偏又都是你最近去过哪里。
opt.act1_rel_false_friendliness.give_vague_answer,含糊带过
opt.act1_rel_false_friendliness.give_vague_answer.result,你试着把话含过去，想看看对方到底是临时起意来套你，还是已经盯了你一阵。
opt.act1_rel_false_friendliness.give_vague_answer.success,你把答案说得足够含糊，却又没露出太重的防备，对方只当你谨慎，没有从你嘴里抠出真东西。
opt.act1_rel_false_friendliness.give_vague_answer.failure,你话里那点回避太明显，对方嘴上还在笑，心里却已经把你单独拎了出来。你没暴露去向，却更像是在遮什么。
evt.act1_ano_hear_well_echo.title,再一次听见井声
evt.act1_ano_hear_well_echo.desc,夜里风从西侧吹来，井底那道模糊的回声又一次顺着黑暗摸到了你耳边。
opt.act1_ano_hear_well_echo.listen_then_stop,只听一瞬就强迫自己停下
opt.act1_ano_hear_well_echo.listen_then_stop.result,你只打算顺着那阵异声听一瞬，看看能不能捞到一点东西就立刻收手。
opt.act1_ano_hear_well_echo.listen_then_stop.success,你在真正被拖进去前收住了神，只捞走一点有用的回声和更清楚的方向，没有让那股脏东西先钻进更深处。
opt.act1_ano_hear_well_echo.listen_then_stop.failure,你以为自己只听了一瞬，可那阵异声还是趁你收手之前先在心口上留了一道脏印。线索没来得及抓稳，反而先把自己弄脏了。
evt.act1_ano_wrong_name_whisper.title,叫错名字的异声
evt.act1_ano_wrong_name_whisper.desc,那阵异声这一次没有叫你的名字，而是叫了一个你根本不认识的人，像在把别人的残响误缝到你身上。
opt.act1_ano_wrong_name_whisper.remember_wrong_name,把那个名字记下来
opt.act1_ano_wrong_name_whisper.remember_wrong_name.result,你决定硬记下那个错出来的名字，赌它要么是一条真线，要么就是化骨池最危险的钩子。
opt.act1_ano_wrong_name_whisper.remember_wrong_name.success,你把那个名字死死记住了，也因此更确信池底拼的不是一个人的声音，而是一堆还没散净的残响。这个名字本身就成了一条更硬的线索。
opt.act1_ano_wrong_name_whisper.remember_wrong_name.failure,你想把名字记牢，结果反而被那声音多缠了一层。它没给你更清楚的去向，只先把那股脏意压进了脑子里。
evt.act1_ano_mark_on_wall.title,墙上的新刻痕
evt.act1_ano_mark_on_wall.desc,夜里起身时，你发现墙上多出一道细细的划痕，像是湿手指沿着墙面一点点拖出来的。
opt.act1_ano_mark_on_wall.trace_mark,顺着刻痕看下去
opt.act1_ano_mark_on_wall.trace_mark.result,你顺着刻痕往下看，想搞清楚它到底是在给你指路，还是只是某种反复留下的坏习惯。
opt.act1_ano_mark_on_wall.trace_mark.success,你把那道细痕一路追到了朝西的一面墙边，终于确认它不是偶然留下的脏印，而像某种一次次重复的路径。
opt.act1_ano_mark_on_wall.trace_mark.failure,你看得太深，手指刚碰上那条痕，心里那股发冷的劲就先翻了上来。方向没看清多少，自己倒被拖得更虚了一层。
evt.act1_risk_followed_in_dark.title,黑暗里的尾随
evt.act1_risk_followed_in_dark.desc,回寝舍的路上，你几次听见身后多出半拍的脚步声，像有人在刻意学着你的节奏走。
opt.act1_risk_followed_in_dark.do_not_turn_back,不回头，硬着头皮走完
opt.act1_risk_followed_in_dark.do_not_turn_back.result,你不打算回头，只想靠这一口硬撑的心气把整段黑路先走完。
opt.act1_risk_followed_in_dark.do_not_turn_back.success,你一直没回头，脚步也没乱。等那半拍多出来的声音终于断掉时，你知道自己至少没把破绽先露给身后的东西。
opt.act1_risk_followed_in_dark.do_not_turn_back.failure,你人是走回来了，心口那口气却先散了。后面的脚步没真追上你，可那股“已经被盯着”的感觉反而更紧地咬住了你。
evt.act1_risk_patrol_question.title,夜巡盘视
evt.act1_risk_patrol_question.desc,夜里脚步从门外慢慢经过，停顿的时间长得像是有人正隔着门板确认你有没有睡着。
opt.act1_risk_patrol_question.stay_still,屏住呼吸，不出声
opt.act1_risk_patrol_question.stay_still.result,你只能先把呼吸压到最轻，赌门外那个人会不会把这阵停顿当成屋里什么都没有。
opt.act1_risk_patrol_question.stay_still.success,你把呼吸压得够稳，门外那阵停顿最后还是慢慢挪开了。虽然没人敲门，可你也因此更清楚夜巡到底会在什么时辰回来摸这一轮。
opt.act1_risk_patrol_question.stay_still.failure,你人没动，心里却先乱了一寸。门外的脚步没有立刻闯进来，可那阵停顿明显比刚才更久，像是已经把这里先记住了。
evt.act1_risk_wrong_time_wrong_place.title,出现在不该出现的地方
evt.act1_risk_wrong_time_wrong_place.desc,你刚从化骨池附近或药房离开，就碰上了一个本不该在这个时辰看见你的人。
opt.act1_risk_wrong_time_wrong_place.pretend_errand,假装只是路过办事
opt.act1_risk_wrong_time_wrong_place.pretend_errand.result,你只能先拿一套临时理由把这次撞面糊过去，赌对方今天不想深究。
opt.act1_risk_wrong_time_wrong_place.pretend_errand.success,你那套借口说得刚好，不多不少，对方虽然多看了你两眼，却还是把这次碰面当成了普通跑腿。
opt.act1_risk_wrong_time_wrong_place.pretend_errand.failure,你话一出口就知道借口编得太急。对方虽然没当场拆穿，却明显把你这次出现的时辰和位置一并记了下来。
evt.2002.title,柳飞霞递来暗线
evt.2002.desc,第二天白日，柳飞霞比平时更早守在破屋阴影里。她没有再提旧情，只低声说昨夜有人在问你，也在问那块玉简。她把声音压得很低，像是怕王麻子的耳目正贴在墙后听。
opt.2002_opt_01.text,先听她开出的条件
opt.2002_opt_01.result,你先让她把筹码摆到桌面上，看看她究竟想拿什么换这条暗线。
opt.2002_opt_02.text,逼她表态到底站哪边
opt.2002_opt_02.result,你不打算只听她做交易，而是逼她先说清楚，在王麻子和你之间她到底准备押哪一边。
evt.2102.title,柳飞霞递来第一份暗报
evt.2102.desc,
opt.210201.text,先听她把今夜要说的事讲完
opt.210201.result,你不急着逼问，只示意她继续往下说。
opt.210202.text,逼问她为什么现在才来递这份消息
opt.210202.result,你没有先接那张纸，而是盯着她，问她为何拖到今天才肯把这种事递到你门前。
evt.2001.title,柳飞霞的试探
evt.2001.desc,
evt.9101.title,柳飞霞索要遗物
evt.9101.desc,柳飞霞终于把手伸到了你最不该交出去的东西上。她声音压得很轻，却比昨夜任何一句试探都更直接。你知道这已经不是普通对话，而是一次能不能反咬回去的心战。
evt.9102.title,柳飞霞的心防崩了
evt.9102.desc,柳飞霞被你当场击穿了心防。她先是死死咬住嘴唇，随即像再也兜不住一样，把王麻子的布置、她自己递药的前后、以及谁准备先灭口，全都抖了出来。你不仅赢下了这一轮心战，也从她崩开的破绽里撕下了新的魔念卡。
opt.9102_opt_01.text,记下她吐出来的每一句话
opt.9102_opt_01.result,你没有急着追打，只把她崩溃时吐出的每一句话牢牢记住。到这一步，她已经不是来试你的同门，而是被你抓住把柄的活口。
evt.9103.title,柳飞霞强撑了下来
evt.9103.desc,你没能在心战中压垮柳飞霞，反而先被反噬击穿了容器。她虽然也被逼得失态了一瞬，却很快稳住呼吸，眼睁睁看着你先一步撑不住。等你意识开始塌下去时，这一轮外门求生已经结束了。
opt.9103_opt_01.text,任由反噬吞没这一轮布局
opt.9103_opt_01.result,你最后还是没能把她拖下水，反而让自己的容器先一步裂开。这一局到此为止，剩下的一切都只能留到下一轮再算。
evt.2004.title,王麻子的盘问
evt.2004.desc,
opt.2004_opt_01.text,追问药房旧账和缺页，看看他最先慌的是哪一段
opt.2004_opt_01.result,你没有顺着他的话退开，而是把问题反顶了回去，直接问药房旧账为什么偏偏缺了那几页，缺口前后又是谁在值夜。你不是指望他当场招认，而是要看他究竟最怕哪一段被连起来。
opt.2004_opt_02.text,先收锋芒，逼他多问几句，看看他到底在替谁确认
opt.2004_opt_02.result,你没有正面顶上去，只把回答压在最安全的边上，反过来逼他多开几次口。王麻子越问越细，最后连你最近靠近过谁、有没有夜里看见后墙那边的人影都要顺带问一遍。到这一步，你已经能确定，他今天不是来摆威风，而是替更后面的那只手先筛一遍人。
evt.2005.title,夜巡弟子的异常回报
evt.2005.desc,
opt.2005_opt_01.text,把你听到的异常如实说出，看看他会不会顺着补上夜里见闻
opt.2005_opt_01.result,你把自己听到的异声、见过的停步和不对劲之处尽量照实说了出来，想看他会不会因此补出夜里到底谁在盯哪几条路、哪几处地方最近被刻意多看了两眼。
opt.2005_opt_02.text,先压住最关键的那部分，只拿表层异常试探他的底
opt.2005_opt_02.result,你只说了最表层的那部分，把真正让你在意的几处异样暂时压住。夜巡弟子表面没追问得太狠，可你已经看出来，他并不是没东西可说，而是在确认你究竟知道到了哪一步。
evt.2008.title,夜巡盘问
evt.2008.desc,
opt.2008_opt_01.text,谨慎应对，先把这次盘问拖过去
opt.2008_opt_01.result,你尽量把每一句话都压在最不容易被抓把柄的地方，不求立刻翻盘，只求先把这轮盘问应付过去。可你也看得清楚，夜巡从现在起已经把你正式归进了“值得继续盯着”的那一类。
evt.2003.title,疯长老的含糊提醒
evt.2003.desc,
opt.2003_opt_01.text,问他现在最该盯的是哪条线，逼他先漏一点真正的方向
opt.2003_opt_01.result,你没顺着疯话兜圈子，而是直接问他：如果此刻只准盯一条线，最先该看药房、广场、夜巡，还是化骨池。疯长老没有正面回答，只说“盯最急着补洞的人”，又提了一句后墙和试药名单从来不是分开的。光是这两句话，就够你把药房和筛人这条线重新连起来。
opt.2003_opt_02.text,先把这份提醒记下，不急着在他面前暴露自己站哪边
opt.2003_opt_02.result,你没有继续追问，只把他故意留白的那部分记进心里。疯长老这种人肯开口，本身就说明你已经被他放进了观察名单；继续说下去，拿到的未必是答案，更可能是你自己的破绽。
evt.2007.title,疯长老的试探
evt.2007.desc,
opt.2007_opt_01.text,说一半，藏一半，让他知道你不是会空手送命的那种人
opt.2007_opt_01.result,你没有把自己知道的都摊开，只拿出一半来应他的话，既不后退，也不真把底牌交出去。疯长老没有继续追问，可你能感觉到，这次试探之后，他已经开始把你当成一个“还值得继续看下去”的人。
evt.9202.title,药房执事先露了底
evt.9202.desc,你把王麻子的心防先压垮了一层。他还想装出那副铁算盘的冷样子，可药房旧账、缺页和灭口的先后顺序已经全从他眼睛里漏了出来。
opt.9202_opt_01.text,记下他先露出的那一层盘算
opt.9202_opt_01.result,你没有急着再逼他，而是先把这次崩口里漏出来的账缝和人名牢牢记住。药房这条线，从现在起终于能往更深处翻了。
evt.9203.title,药房执事咬住了牙关
evt.9203.desc,你没能把王麻子彻底掀翻。他虽然被你逼出了一瞬失态，却很快把那一层狠意收了回去，接下来只会更急着补洞、也更急着盯你。
opt.9203_opt_01.text,先收手，把他这次的反应记下来
opt.9203_opt_01.result,你没有继续顶上去。就算这一轮没赢到底，王麻子在你面前漏出来的那一点慌，已经足够说明他在怕什么。
evt.9302.title,夜巡弟子被你撬开了口
evt.9302.desc,夜巡弟子本来还想把话咽回去，可你沿着那点职责与心虚一路压下去，他最后还是把自己看见的异动与夜里巡过的路线吐出了大半。
opt.9302_opt_01.text,顺着他说出的巡线路线往下记
opt.9302_opt_01.result,你把那几段巡夜路线和停步的位置一一记下。这些零散路径，后面很可能会接成一条真正的活线。
evt.9303.title,夜巡弟子先把门关死了
evt.9303.desc,你没能在这一轮里把他压开口。他虽然没有当场翻脸，可整个人已经本能地立起了戒心，后面再想从他这里探消息，只会更难。
opt.9303_opt_01.text,先把他的戒心当成线索
opt.9303_opt_01.result,你把这次失败也记了下来。一个明明知道东西的人忽然这么稳，往往比开口时更能暴露问题。
evt.9402.title,疯长老对你起了真兴趣
evt.9402.desc,你没能把疯长老当成普通疯子去应付，反而反过来从他的疯话和试药兴奋里拆出了真意。等他再看你时，眼神里已经多了一层真正的留意。
opt.9402_opt_01.text,记住他漏出来的那点真意
opt.9402_opt_01.result,你没有急着追第二刀，而是先把疯长老话里最不疯的那一段留在心里。以后再见他，这会是一把真正能用的钥匙。
evt.9403.title,疯长老先看穿了你的急切
evt.9403.desc,你没能顺着疯话切进去，反倒先把自己的心思露得太快。疯长老像是在看一味还不够熟的药材，笑着把你整个人重新估量了一遍。
opt.9403_opt_01.text,先忍下这口反噬
opt.9403_opt_01.result,你没有继续硬顶。疯长老这种人最擅长记住谁能拿来试，谁又会在什么时候自己送上门。
evt.9501.title,撞上拦路杂兵
evt.9501.desc,你刚从外门回廊转出来，就被一个想趁乱立威的低级弟子拦了路。对方未必真有本事，可正适合拿来磨一轮灵台心战。
evt.9502.title,顺手碾过去了
evt.9502.desc,这类低阶弟子本来就没什么真正的心防。你只用了一轮，就把他那点虚张声势压成了以后再不敢随便来碰你的记忆。
opt.9502_opt_01.text,把这次练手当成正式积累
opt.9502_opt_01.result,这种杂兵给不了真正的大秘密，但能给你一层稳定的熟练度。每多撬开一次弱心防，你对种魔这件事就更稳一分。
evt.9503.title,被他缠住了一轮
evt.9503.desc,你没在这轮里干净利落地把人压下去，反而被他借着人多眼杂缠住了片刻。伤不到根本，却足够让你多添一点麻烦。
opt.9503_opt_01.text,先脱身，不和杂兵死缠
opt.9503_opt_01.result,你把这轮失手当成提醒。真正会磨掉耐心和状态的，往往不是狠角色，而是这些明知不值却不得不应付的杂兵。
evt.1101.title,第二夜的归拢
evt.1101.desc,"白天广场上的那一刀还压在心口。柳飞霞的试探、王麻子的压迫、药房里被人刻意遮住的旧账、夜里越来越近的异声，全都开始指向同一件事：你已经不能再把这些线索散着看了。
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么先把丹房那边最险的门路记下来，赌那地方迟早会有人肯拿“留人一命”来谈价；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。"
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么先把丹房那边最险的门路记下来，赌那地方迟早会有人肯拿“留人一命”来谈价；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，你至少得先替自己定一个查下去的方向。要么顺着药房和执事那边继续摸，看看是谁在急着补洞；要么把丹房里那个说疯话却总像话里有话的人记成一条险路，赌他迟早会再开口；要么盯住后墙、异声和化骨池那边的残痕，去追族兄到底是怎么死的；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
从今夜起，外门摆在你面前的活路大致只剩四条。要么顺着药房旧账往里翻，看看王麻子到底在替谁遮掩；要么把疯长老那条险路当成真正的生路，赌他愿意把你留作还能用的药材；要么盯住化骨池和夜里的异声，去追族兄到底是死在谁的手上；要么先暂避锋芒，别在还没看清局势前把命押空。,
